Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Height_cm,Weight_kg,PTS,REB,AST,School
Balsa Koprivica,5.0,SO,C,7-1,240,"Belgrade, Serbia",Montverde Academy,64 (2019),215.9,108.9,9.1,5.6,0.8,florida-state
Anthony Polite,2.0,JR,G,6-6,215,"Lugano, Switzerland",Saint Andrew's School,,198.1,97.5,10.1,4.5,1.8,florida-state
Malik Osborne,10.0,JR,F,6-9,225,"Matteson, IL",Don Bosco Preparatory High School,,205.7,102.1,5.9,4.5,0.3,florida-state
Sardaar Calhoun,5.0,JR,G,6-6,220,"Tappahannock, VA",Blue Ridge (VA),,198.1,99.8,5.3,1.4,0.6,florida-state
RayQuan Evans,0.0,SR,G,6-4,210,"Billiings, MT",Billings Skyview (MT),,193.0,95.3,5.1,2.0,1.4,florida-state
Wyatt Wilkes,31.0,JR,F,6-8,220,"Orlando, FL",Winter Park High School,,203.2,99.8,3.9,1.6,0.9,florida-state
Nathanael Jack,0.0,SR,G,6-5,195,"Mississauga, Canada",Calusa (FL),,195.6,88.5,3.6,0.7,0.3,florida-state
Tanor Ngom,11.0,FR,C,7-1,236,"Dakar, Senegal",Ryerson University (ON),,215.9,107.0,2.4,1.7,0.0,florida-state
Quincy Ballard,15.0,FR,C,6-11,240,"Syracuse, NY",Quality Education Academy,,210.8,108.9,1.2,0.7,0.1,florida-state
Justin Lindner,12.0,SR,G,6-1,180,"Memphis, TN",Christian Brothers High School,,185.4,81.6,0.7,0.3,0.9,florida-state
Travis Light,20.0,SR,G,6-5,180,"Vienna, VA",Montverde Academy,,195.6,81.6,0.5,0.5,0.0,florida-state
Harrison Prieto,30.0,SR,F,6-8,230,"Mandeville, LA",St. Paul's School,,203.2,104.3,0.8,0.3,0.0,florida-state
Will Miles,33.0,SR,F,6-6,220,"Orlando, FL",Trinity Preparatory School,,198.1,99.8,0.4,0.1,0.3,florida-state
Drew Timme,2.0,SO,F,6-10,235,"Richardson, TX",Pearce (TX),42 (2019),208.3,106.6,19.0,7.0,2.3,gonzaga
Corey Kispert,24.0,SR,F,6-7,220,"Edmonds, WA","King's (Shoreline, WA)",,200.7,99.8,18.6,5.0,1.8,gonzaga
Jalen Suggs,1.0,FR,G,6-4,205,"West St. Paul, MN",Minnehaha HS,7 (2020),193.0,93.0,14.4,5.3,4.5,gonzaga
Joel Ayayi,11.0,JR,G,6-5,180,"Paris, France",Institut national du sport (France),,195.6,81.6,12.0,6.9,2.7,gonzaga
Andrew Nembhard,3.0,JR,G,6-5,193,"Aurora, Canada",Montverde Academy,25 (2018),195.6,87.5,9.2,2.4,4.4,gonzaga
Anton Watson,22.0,SO,F,6-8,225,"Spokane, WA",Gonzaga Prep,48 (2019),203.2,102.1,6.9,3.3,1.2,gonzaga
Aaron Cook,10.0,SR,G,6-1,180,"St. Louis, MO",Westminster Christian Academy,,185.4,81.6,4.2,1.6,1.7,gonzaga
Julian Strawther,0.0,FR,G,6-7,205,"Las Vegas, NV",Liberty HS,58 (2020),200.7,93.0,3.4,1.2,0.0,gonzaga
Dominick Harris,55.0,FR,G,6-3,190,"Murrieta, CA",Rancho Christian School,64 (2020),190.5,86.2,3.0,0.7,0.4,gonzaga
Oumar Ballo,11.0,FR,C,7-0,260,"Koulikoro, Mali",Canterbury Academy (Spain),95 (2019),213.4,117.9,2.5,1.5,0.1,gonzaga
Ben Gregg,33.0,,F,6-10,225,"Clackamas, OR",Clackamas HS,,208.3,102.1,0.9,1.0,0.1,gonzaga
Pavel Zakharov,10.0,SO,F,7-0,235,"St. Petersburg, Russia",Montverde Academy,59 (2019),213.4,106.6,0.8,0.4,0.0,gonzaga
Matthew Lang,23.0,JR,G,6-3,185,"Portland, OR",Jesuit HS,,190.5,83.9,0.5,0.0,0.0,gonzaga
Martynas Arlauskas,5.0,SO,G,6-7,205,"Kaunas, Lithuania",President Valdas Adamkus (Lithuania),87 (2019),200.7,93.0,0.1,0.3,0.1,gonzaga
Will Graves,35.0,JR,G,6-5,185,"Eugene, OR",South Eugene HS,,195.6,83.9,0.2,0.4,0.0,gonzaga
Hunter Dickinson,1.0,FR,C,7-1,255,"Alexandria, VA",DeMatha Catholic HS,37 (2020),215.9,115.7,14.1,7.4,0.9,michigan
Franz Wagner,21.0,SO,G,6-9,220,"Berlin, Germany",Alba Berlin (Germany),,205.7,99.8,12.5,6.5,3.0,michigan
Isaiah Livers,2.0,SR,F,6-7,230,"Kalamazoo, MI",Kalamazoo Central High School,,200.7,104.3,13.1,6.0,2.0,michigan
Eli Brooks,55.0,SR,G,6-1,185,"Spring Grove, PA",Spring Grove High School,,185.4,83.9,9.5,3.1,3.1,michigan
Mike Smith,12.0,SR,G,5-11,185,"Burr Ridge, IL",Fenwick High School,,180.3,83.9,9.0,2.8,5.3,michigan
Chaundee Brown,15.0,SR,G,6-5,215,"Orlando, FL",Dr. Phillips High School,34 (2017),195.6,97.5,8.0,3.1,0.6,michigan
Brandon Johns,23.0,JR,F,6-8,240,"East Lansing, MI",East Lansing HS,67 (2018),203.2,108.9,4.9,2.3,0.5,michigan
Austin Davis,51.0,SR,F,6-10,250,"Onsted, MI",Onsted High School,,208.3,113.4,5.4,2.8,0.3,michigan
Terrance Williams,5.0,FR,F,6-7,240,"Clinton, MD",Gonzaga College HS,95 (2020),200.7,108.9,1.9,2.2,0.4,michigan
Zeb Jackson,3.0,FR,G,6-5,180,"Toledo, OH",Maumee Valley (OH),77 (2020),195.6,81.6,1.0,0.8,0.4,michigan
Jace Howard,25.0,FR,G,6-7,210,"Miami, FL",University School,,200.7,95.3,1.1,0.4,0.0,michigan
Adrien Nunez,0.0,JR,G,6-6,210,"Brooklyn, NY",St. Thomas More Prep,,198.1,95.3,0.6,0.4,0.0,michigan
Jaron Faulds,44.0,SR,F,6-10,240,"Holt, MI",Holt High School,,208.3,108.9,0.4,0.5,0.1,michigan
C.J. Baird,24.0,SR,F,6-5,225,"Novi, MI",Detroit Catholic Central High School,,195.6,102.1,0.5,0.0,0.3,michigan
Rico Ozuna-Harrison,14.0,SR,G,5-11,175,"Detroit, MI",Cass Technical High School,,180.3,79.4,0.0,0.0,0.0,michigan
Brandon Wade,4.0,SO,G,6-1,185,"Ann Arbor, MI",Skyline HS,,185.4,83.9,0.0,0.3,0.0,michigan
Luke Wilson,32.0,SR,G,6-0,175,"Boulder, CO",Boulder High School,,182.9,79.4,0.0,0.0,0.5,michigan
Jared Butler,12.0,JR,G,6-3,195,"Reserve, LA",Riverside Academy,95 (2018),190.5,88.5,16.7,3.3,4.8,baylor
MaCio Teague,31.0,SR,G,6-4,195,"Cincinnati, OH",Walnut HIlls High School,,193.0,88.5,15.9,4.0,1.7,baylor
Davion Mitchell,45.0,JR,G,6-2,205,"Hinesville, GA",Liberty County High School,58 (2017),188.0,93.0,14.0,2.7,5.5,baylor
Adam Flagler,10.0,SO,G,6-3,180,"Duluth, GA",Duluth HS,,190.5,81.6,9.1,2.3,1.4,baylor
Matthew Mayer,24.0,JR,G,6-9,225,"Austin, TX",Westlake HS,86 (2018),205.7,102.1,8.1,3.7,1.0,baylor
Jonathan Tchamwa Tchatchoua,23.0,SO,F,6-8,245,"Douala, Cameroon",NBA Global Academy - Australia,,203.2,111.1,6.4,5.0,0.4,baylor
Mark Vital,11.0,SR,F,6-5,250,"Lake Charles, LA",Prime Prep Academy,79 (2016),195.6,113.4,5.6,6.7,1.4,baylor
Flo Thamba,0.0,JR,F,6-10,245,"Kinshasa, Democratic Republic of the Congo",Mountain Mission School,,208.3,111.1,3.6,4.0,0.2,baylor
LJ Cryer,4.0,FR,G,6-1,185,"Katy, TX",Morton Ranch HS,83 (2020),185.4,83.9,3.4,0.6,0.8,baylor
Zach Loveday,32.0,FR,F,7-0,215,"Gallipolis, OH",Huntington (W. Va.) Prep,,213.4,97.5,2.2,1.1,0.1,baylor
Jordan Turner,5.0,FR,G,6-8,195,"Houston, TX",Sunrise Christian (KS),,203.2,88.5,1.7,1.3,0.3,baylor
Mark Paterson,35.0,SR,G,6-1,180,"Dallas, TX",Trinity Christian (TX),,185.4,81.6,1.2,0.7,0.0,baylor
Jackson Moffatt,13.0,SO,G,6-7,200,"Magnolia, TX",Magnolia HS,,200.7,90.7,0.0,0.5,0.1,baylor
Oscar Da Silva,13.0,SR,F,6-9,225,"Munich, Germany",Ludwig Gymnasium,98 (2017),205.7,102.1,18.5,6.7,2.4,stanford
Jaiden Delaire,11.0,JR,F,6-9,210,"North Granby, CT",Granby Memorial HS,,205.7,95.3,12.5,4.1,1.0,stanford
Ziaire Williams,3.0,FR,F,6-8,185,"Lancaster, CA",Sierra Canyon HS,6 (2020),203.2,83.9,10.7,4.6,2.2,stanford
Spencer Jones,14.0,SO,F,6-7,225,"Roeland Park, KS",Bishop Miege HS,,200.7,102.1,8.2,3.9,1.0,stanford
Michael O'Connell,5.0,FR,G,6-2,180,"Mineola, NY",Blair Academy,,188.0,81.6,6.7,3.0,2.8,stanford
Daejon Davis,11.0,SR,G,6-3,190,"Seattle, WA",Garfield High School,50 (2017),190.5,86.2,10.3,3.2,2.9,stanford
Bryce Wills,2.0,JR,F,6-6,200,"White Plains, NY",Iona Preparatory School,,198.1,90.7,7.5,3.6,2.1,stanford
Lukas Kisunas,32.0,JR,F,6-10,255,"Vilnius, Lithuania",Brewster Academy,,208.3,115.7,3.3,3.4,0.5,stanford
Noah Taitz,20.0,FR,G,6-3,185,"Las Vegas, NV",Bishop Gorman HS,,190.5,83.9,3.3,1.1,0.4,stanford
Max Murrell,10.0,FR,F,6-9,200,"Omaha, NE",Millard North HS,,205.7,90.7,2.3,0.9,0.2,stanford
Brandon Angel,23.0,FR,F,6-8,210,"San Diego, CA",Torrey Pines HS,,203.2,95.3,1.8,1.2,0.2,stanford
James Keefe,22.0,SO,F,6-9,225,"Los Angeles, CA",Loyola HS,,205.7,102.1,1.3,1.8,0.3,stanford
Neal Begovich,0.0,FR,F,6-9,225,"San Francisco, CA",St. Ignatius College Prep,,205.7,102.1,2.3,0.3,0.0,stanford
Sam Beskind,24.0,SO,G,6-4,190,"Tucson, AZ",Catalina Foothills HS,,193.0,86.2,0.3,0.1,0.0,stanford
Daniel Begovich,21.0,SR,G,6-5,205,"San Francisco, CA",St. Ignatius College Prep,,195.6,93.0,0.0,0.2,0.0,stanford
Keenan Fitzmorris,12.0,SO,C,7-1,225,"Overland Park, KS",New Hampton School,,215.9,102.1,0.0,0.2,0.0,stanford
James Bouknight,2.0,SO,G,6-5,190,"Brooklyn, NY",The MacDuffie School,72 (2019),195.6,86.2,18.7,5.7,1.8,connecticut
R.J. Cole,2.0,JR,G,6-1,185,"Union, NJ",St. Anthony High School,,185.4,83.9,12.2,3.0,4.3,connecticut
Tyrese Martin,4.0,JR,G,6-6,215,"Allentown, PA",Massanutten Military Academy,,198.1,97.5,10.3,7.5,1.0,connecticut
Isaiah Whaley,5.0,SR,F,6-9,230,"Gastonia, NC",Mt. Zion Christian Academy,,205.7,104.3,8.0,6.2,1.5,connecticut
Adama Sanogo,21.0,FR,F,6-9,240,,The Patrick School,69 (2020),205.7,108.9,7.3,4.8,0.6,connecticut
Tyler Polley,12.0,SR,F,6-9,215,"Miramar, FL",Sagemont School,,205.7,97.5,7.5,2.0,0.4,connecticut
Jalen Gaffney,0.0,SO,G,6-3,185,"Columbus, NJ",Westtown School,,190.5,83.9,6.1,1.5,1.5,connecticut
Brendan Adams,10.0,JR,G,6-4,195,"Hanover, MD",Calvert Hall College HS,,193.0,88.5,4.5,2.1,1.5,connecticut
Josh Carlton,25.0,SR,F,6-11,240,"Winterville, NC",DeMatha Catholic High School,,210.8,108.9,3.5,3.7,0.4,connecticut
Andre Jackson,44.0,FR,G,6-6,210,"Amsterdam, NY",Albany Academy,50 (2020),198.1,95.3,2.7,2.9,1.6,connecticut
Akok Akok,11.0,SO,F,6-9,215,"Manchester, NH",Putnam Science Academy,62 (2019),205.7,97.5,1.3,0.4,0.1,connecticut
Richie Springs,13.0,FR,F,6-9,225,"Brooklyn, NY",The MacDuffie School,,205.7,102.1,1.0,1.0,0.0,connecticut
Javonte Brown,31.0,FR,C,7-0,250,"Toronto, Canada",Thornlea Secondary HS,,213.4,113.4,2.0,1.0,0.0,connecticut
Andrew Hurley,20.0,FR,G,6-1,175,"Glastonbury, CT",St. Anthony HS,,185.4,79.4,0.8,0.0,0.0,connecticut
Jaden Shackelford,5.0,SO,G,6-3,200,"Hesperia, CA",Hesperia HS,98 (2019),190.5,90.7,14.0,3.8,2.0,alabama
John Petty,23.0,SR,G,6-5,184,"Huntsville, AL",J.O. Johnson High School,28 (2017),195.6,83.5,12.6,5.2,1.9,alabama
Jahvon Quinerly,13.0,SO,G,6-1,175,"Hackensack, NJ",Hudson Catholic HS,29 (2018),185.4,79.4,12.9,2.2,3.2,alabama
Herb Jones,1.0,SR,F,6-8,210,"Greensboro, AL",Hale County High School,,203.2,95.3,11.2,6.6,3.3,alabama
Joshua Primo,11.0,FR,G,6-6,190,"Toronto, Canada",Huntington Prep HS,80 (2020),198.1,86.2,8.1,3.4,0.8,alabama
Alex Reese,3.0,SR,F,6-9,230,"Pelham, AL",Pelham High School,93 (2017),205.7,104.3,5.4,3.1,0.6,alabama
Keon Ellis,14.0,JR,G,6-6,170,"Eustis, FL",Leesburg (FL),,198.1,77.1,5.5,4.0,1.1,alabama
Jordan Bruner,2.0,SR,F,6-10,225,"Columbia, SC",Spring Valley High School,,208.3,102.1,5.6,3.9,1.3,alabama
Juwan Gary,4.0,FR,F,6-6,218,"Columbia, SC",West Charlotte HS,82 (2019),198.1,98.9,3.8,2.8,0.2,alabama
James Rojas,33.0,JR,F,6-8,220,"Jamestown, NY",Jamestown HS,,203.2,99.8,2.9,2.6,0.4,alabama
Darius Miles,2.0,FR,F,6-6,185,"Washington, DC",Theodore Roosevelt HS,,198.1,83.9,2.2,0.9,0.2,alabama
Keon Ambrose-Hylton,22.0,FR,F,6-8,210,"Toronto, Canada",Andrew's Osborne Academy,,203.2,95.3,1.2,0.7,0.1,alabama
Britton Johnson,21.0,JR,G,6-4,183,"Mountain Brook, AL",Mountain Brook HS,,193.0,83.0,0.5,0.3,0.1,alabama
Tyler Barnes,15.0,SR,F,6-8,201,"Louisville, KY",St. Xavier High School,,203.2,91.2,0.3,0.6,0.1,alabama
Kendall Wall,30.0,SR,F,6-5,192,"Columbia, SC",Spring Valley (SC),,195.6,87.1,0.3,0.5,0.1,alabama
Jaden Quinerly,24.0,FR,G,6-0,155,"Hackensack, NJ",Ramsey HS,,182.9,70.3,2.0,0.0,0.0,alabama
Adam Cottrell,30.0,SO,G,6-3,200,"Flowery Branch, GA",Lakeview Academy,,190.5,90.7,0.0,0.0,0.0,alabama
Delaney Heard,12.0,FR,G,6-3,198,"Atlanta, GA",Oak Hill Academy,,190.5,89.8,0.0,0.5,0.0,alabama
Eugene Omoruyi,2.0,SR,F,6-6,235,"Rexdale, Canada",Orangeville High School,,198.1,106.6,17.1,5.4,2.3,oregon
Chris Duarte,5.0,SR,G,6-6,190,"Puerto Plata, Dominican Republic",Redemption Christian (NY),,198.1,86.2,17.1,4.6,2.7,oregon
LJ Figueroa,30.0,SR,G,6-6,195,"Lawrence, MA",West Oaks (FL),,198.1,88.5,12.3,6.1,1.4,oregon
Eric Williams,50.0,JR,G,6-6,200,"Port Huron, MI",New Haven High School,,198.1,90.7,10.0,6.0,1.6,oregon
Will Richardson,0.0,JR,G,6-5,180,"Hinesville, GA",Oak Hill Academy,40 (2018),195.6,81.6,11.3,3.4,3.9,oregon
Chandler Lawson,4.0,SO,F,6-8,205,"Memphis, TN",Wooddale HS,94 (2019),203.2,93.0,4.4,3.0,0.8,oregon
Amauri Hardy,11.0,SR,G,6-2,190,"Detroit, MI",North Farmington High School,,188.0,86.2,3.9,1.3,2.2,oregon
Jalen Terry,3.0,FR,G,5-11,165,"Flint, MI",Beecher HS,73 (2020),180.3,74.8,2.9,1.2,1.1,oregon
N'Faly Dante,1.0,SO,C,6-11,230,"Bamako, Mali",Sunrise Christian Academy,,210.8,104.3,8.2,5.8,0.2,oregon
Franck Kepnang,22.0,,C,6-11,225,"Yaound̩, Cameroon",Westtown HS,,210.8,102.1,2.6,1.2,0.1,oregon
Aaron Estrada,4.0,SO,G,6-4,207,"Woodbury, NJ",St. Benedict's (NJ),,193.0,93.9,3.1,1.9,0.8,oregon
Lok Wur,15.0,FR,F,6-8,200,"Papillion, NE",Papillion La Vista South HS,,203.2,90.7,1.5,1.1,0.1,oregon
Will Johnson,54.0,SO,G,6-1,180,"Pacific Palisades, CA",Palisdes HS,,185.4,81.6,0.7,0.7,0.2,oregon
Gabe Reichle,10.0,FR,G,6-2,175,"Wilsonville, OR",Wilsonville HS,,188.0,79.4,0.8,0.0,0.0,oregon
Eddy Ionescu,4.0,SR,G,6-6,190,"Walnut Creek, CA",Miramonte (CA),,198.1,86.2,0.0,0.0,0.0,oregon
Luke Osborn,25.0,SR,G,6-6,200,"Clackamas, OR",Tualatin (OR),,198.1,90.7,0.0,0.3,0.0,oregon
Moses Moody,5.0,FR,G,6-6,205,"Little Rock, AR",Montverde Academy (Fla.),40 (2020),198.1,93.0,16.8,5.8,1.6,arkansas
JD Notae,1.0,JR,G,6-1,195,"Covington, GA",Newton County High School,,185.4,88.5,12.8,3.1,1.9,arkansas
Justin Smith,0.0,SR,F,6-7,230,"Buffalo Grove, IL",Adlai E. Stevenson High School,87 (2017),200.7,104.3,13.6,7.3,1.8,arkansas
Jalen Tate,11.0,SR,F,6-6,175,"Pickerington, OH",Pickerington High School Central,,198.1,79.4,11.0,3.8,3.8,arkansas
Davonte Davis,4.0,FR,G,6-3,180,"Jacksonville, AR",Jacksonville HS,,190.5,81.6,8.5,4.5,2.1,arkansas
Desi Sills,3.0,JR,G,6-1,202,"Jonesboro, AR",Jonesboro HS,,185.4,91.6,7.5,2.7,1.6,arkansas
Connor Vanover,23.0,SO,F,7-3,247,"Little Rock, AR",Findlay Prep,,221.0,112.0,6.3,4.5,0.5,arkansas
Vance Jackson,13.0,SR,F,6-9,238,"Pasadena, CA",St. John Bosco High School,70 (2016),205.7,108.0,3.8,2.0,0.7,arkansas
Jaylin Williams,10.0,FR,F,6-10,245,"Fort Smith, AR",Fort Smith Northside HS,,208.3,111.1,3.7,4.7,0.8,arkansas
Khalen Robinson,2.0,FR,G,6-0,175,"Little Rock, AR",Oak Hill Academy (Va.),62 (2020),182.9,79.4,2.6,0.9,1.0,arkansas
Ethan Henderson,10.0,JR,F,6-8,210,"Little Rock, AR",Parkview HS,,203.2,95.3,1.2,1.3,0.1,arkansas
Abayomi Iyiola,35.0,JR,F,6-9,230,"Atlanta, GA",Greenforest Christian High School,,205.7,104.3,0.0,1.0,0.0,arkansas
Brandon Kimble,14.0,SR,F,6-7,180,"Indianola, MS",Indianola Academy (MS),,200.7,81.6,0.0,0.3,0.0,arkansas
Bryson Morehead,33.0,FR,F,6-8,160,"Katy, TX",Obra D. Tompkins HS,,203.2,72.6,0.0,0.0,0.0,arkansas
Emeka Obukwelu,13.0,SR,F,6-8,235,"Plano, TX",Plano West (TX),,203.2,106.6,0.0,0.2,0.2,arkansas
Sam Hauser,10.0,SR,F,6-8,218,"Stevens Point, WI",Stevens Point High School,94 (2016),203.2,98.9,16.0,6.8,1.8,virginia
Jay Huff,30.0,SR,F,7-1,240,"Durham, NC",Voyager Academy,61 (2016),215.9,108.9,13.0,7.1,1.0,virginia
Trey Murphy,25.0,JR,G,6-9,206,"Durham, NC",Cary Academy,,205.7,93.4,11.3,3.4,1.2,virginia
Kihei Clark,0.0,JR,G,5-9,160,"Woodland Hills, CA",Taft Charter HS,,175.3,72.6,9.5,2.0,4.5,virginia
Reece Beekman,2.0,FR,G,6-3,174,"Baton Rouge, LA",Scotlandville Magnet HS,57 (2020),190.5,78.9,4.7,2.8,3.0,virginia
Casey Morsell,14.0,SO,G,6-3,196,"Fort Washington, MD",Saint John's College HS (DC),58 (2019),190.5,88.9,4.4,1.3,0.6,virginia
Thomas Woldetensae,53.0,SR,G,6-5,197,"Bologna, Italy",Victory Rock (FL),,195.6,89.4,4.4,1.3,1.0,virginia
Justin McKoy,22.0,SO,F,6-8,215,"Cary, NC",Panther Creek HS,,203.2,97.5,3.5,3.3,0.5,virginia
Kadin Shedrick,21.0,FR,F,6-11,216,"Raleigh, NC",Holly Springs HS,65 (2019),210.8,98.0,2.5,2.2,0.3,virginia
Francisco Caffaro,22.0,JR,C,7-0,250,"El Trebo, Argentina",NBA Global Academy,,213.4,113.4,1.2,1.2,0.1,virginia
Kody Stattmann,23.0,JR,G,6-7,204,"Bentley Park, Australia",St. Augustine's (Australia),,200.7,92.5,3.5,1.8,0.5,virginia
Jabri Abdur-Rahim,1.0,FR,G,6-7,214,"South Orange, NJ",Blair Academy,36 (2020),200.7,97.1,0.9,0.3,0.3,virginia
Carson McCorkle,33.0,FR,G,6-3,184,"Greensboro, NC",Greensboro Day School,,190.5,83.5,0.6,0.5,0.5,virginia
Austin Katstra,24.0,SR,F,6-6,237,"Charlottesville, VA",Albemarle High School,,198.1,107.5,0.6,0.2,0.0,virginia
Chase Coleman,12.0,SO,G,5-9,157,"Norfolk, VA",Maury HS,,175.3,71.2,0.4,0.2,0.0,virginia
Jayden Nixon,5.0,JR,G,6-3,187,"Charlottesville, VA",Choate Rosemary Hall HS,,190.5,84.8,0.0,0.3,0.0,virginia
Malachi Poindexter,11.0,FR,G,6-2,193,"Mineral, VA",St. Anne's-Belfield School,,188.0,87.5,0.0,0.0,0.0,virginia
Tre Mann,1.0,SO,G,6-5,190,"Gainesville, FL",The Villages (FL),22 (2019),195.6,86.2,16.0,5.6,3.5,florida
Colin Castleton,12.0,JR,F,6-11,231,"Daytona Beach, FL",Father Lopez Catholic HS,100 (2018),210.8,104.8,12.4,6.4,1.1,florida
Tyree Appleby,22.0,JR,G,6-1,170,"Jacksonville, AR",Jacksonville High School,,185.4,77.1,11.3,3.1,3.3,florida
Noah Locke,0.0,JR,G,6-3,203,"Randallstown, MD",McDonogh School,77 (2018),190.5,92.1,10.6,2.4,0.7,florida
Scottie Lewis,23.0,SO,G,6-5,189,"Hazlet, NJ",Ranney School,9 (2019),195.6,85.7,7.9,3.1,1.5,florida
Anthony Duruji,4.0,JR,F,6-7,220,"Germantown, MD",St. Andrew's Episcopal School,,200.7,99.8,6.1,4.4,0.6,florida
Omar Payne,4.0,SO,F,6-10,230,"Kissimmee, FL",Montverde Academy,46 (2019),208.3,104.3,3.8,3.2,0.4,florida
Keyontae Johnson,11.0,JR,F,6-5,229,"Norfolk, VA",Oak Hill Academy,69 (2018),195.6,103.9,16.0,4.5,1.3,florida
Ques Glover,0.0,SO,G,5-11,182,"Knoxville, TN",Bearden (TN),,180.3,82.6,2.5,0.8,0.7,florida
Samson Ruzhentsev,2.0,FR,F,6-7,192,,Hamilton Heights (Tenn.) HS,42 (2020),200.7,87.1,2.0,0.7,0.1,florida
Osayi Osifo,15.0,JR,F,6-7,225,,McKinney Boyd (TX),,200.7,102.1,1.9,2.6,0.4,florida
Niels Lane,44.0,FR,G,6-5,206,"Freehold, NJ",Roselle Catholic HS,,195.6,93.4,1.1,0.7,0.3,florida
Jason Jitoboh,33.0,SO,C,6-11,285,"Abuja, Nigeria",Hamilton Heights (TN),,210.8,129.3,0.9,0.6,0.0,florida
