Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Height_cm,Weight_kg,PTS,REB,AST,School
Cade Cunningham,2.0,FR,G,6-8,220,"Arlington, TX",Monteverde (FL),1 (2020),203.2,99.8,20.1,6.2,3.5,oklahoma-state
Avery Anderson,0.0,SO,G,6-3,170,"Justin, TX",Northwest HS,,190.5,77.1,12.2,4.0,2.0,oklahoma-state
Kalib Boone,22.0,SO,F,6-9,210,"Tulsa, OK",Memorial HS,,205.7,95.3,9.4,5.4,0.8,oklahoma-state
Matthew-Alexander Moncrieffe,12.0,FR,F,6-7,215,"Mono, Canada",Orangeville Prep,94 (2020),200.7,97.5,9.0,5.3,0.7,oklahoma-state
Rondel Walker,5.0,FR,G,6-4,170,"Midwest City, OK",Putnam City West HS,76 (2020),193.0,77.1,7.8,2.9,1.0,oklahoma-state
Isaac Likekele,13.0,JR,G,6-5,215,"Arlington, TX",Timberview HS,,195.6,97.5,9.1,6.6,3.6,oklahoma-state
Bryce Williams,14.0,SR,G,6-2,180,"Tampa, FL",South Sumter (FL),,188.0,81.6,7.3,1.8,1.9,oklahoma-state
Keylan Boone,20.0,SO,G,6-8,200,"Tulsa, OK",Memorial HS,,203.2,90.7,4.4,4.1,0.6,oklahoma-state
Ferron Flavors,31.0,SR,G,6-3,190,"Federal Way, WA",Federal Way High School,,190.5,86.2,3.4,0.8,0.3,oklahoma-state
Bernard Kouma,25.0,SO,F,6-10,240,"N'Djamena, Chad",Our Saviour Lutheran (NY),,208.3,108.9,1.5,1.4,0.1,oklahoma-state
Chris Harris,2.0,SO,G,6-2,200,"Dallas, TX",South Garland HS,,188.0,90.7,4.0,0.0,0.0,oklahoma-state
Dee Mitchell,55.0,JR,G,6-2,190,"Jefferson, TX",Jefferson HS,,188.0,86.2,0.0,0.3,0.0,oklahoma-state
Donovan Williams,4.0,FR,G,6-5,200,"Lincoln, NE",North Star HS,,195.6,90.7,0.0,0.7,0.0,oklahoma-state
Evan Mobley,4.0,FR,F,7-0,210,"Murrieta, CA",Rancho Christian HS,3 (2020),213.4,95.3,16.4,8.7,2.4,southern-california
Tahj Eaddy,2.0,SR,G,6-2,165,"West Haven, CT",Tennessee Prep Academy,,188.0,74.8,13.6,2.9,2.8,southern-california
Drew Peterson,13.0,JR,G,6-8,185,"Libertyville, IL",Libertyville HS,,203.2,83.9,9.8,5.0,2.7,southern-california
Isaiah Mobley,3.0,SO,F,6-10,235,"Murrieta, CA",Rancho Christian School,18 (2019),208.3,106.6,9.9,7.3,1.6,southern-california
Isaiah White,5.0,SR,G,6-7,205,"Rancho Cucamonga, CA",Damien (CA),,200.7,93.0,7.6,3.4,0.8,southern-california
Chevez Goodwin,1.0,SR,F,6-9,215,"Blythewood, SC",Hamnond School,,205.7,97.5,5.6,3.5,0.5,southern-california
Ethan Anderson,20.0,SO,G,6-1,210,"Los Angeles, CA",Fairfax HS,,185.4,95.3,5.7,1.8,2.7,southern-california
Max Agbonkpolo,23.0,SO,F,6-8,190,"Laguna Niguel, CA",Santa Margarita Catholic HS,54 (2019),203.2,86.2,3.9,2.6,0.8,southern-california
Noah Baumann,20.0,JR,G,6-6,215,"Phoenix, AZ",Desert Vista High School,,198.1,97.5,3.6,0.9,0.3,southern-california
Boubacar Coulibaly,12.0,FR,F,6-10,195,"Bamako, Mali",San Gabriel Academy,,208.3,88.5,1.3,0.6,0.1,southern-california
Amar Ross,55.0,,G,5-7,150,"Long Beach, CA",Fremont HS,,170.2,68.0,1.6,0.0,0.0,southern-california
Reese Dixon-Waters,21.0,FR,G,6-5,210,"Long Beach, CA",St. Bernard HS,,195.6,95.3,0.5,0.6,0.0,southern-california
Joshua Morgan,24.0,SO,C,6-11,195,"Sacramento, CA",Sheldon HS,,210.8,88.5,0.3,0.6,0.0,southern-california
Reggie Parris,32.0,,G,6-3,185,"Lakewood, CO",J.K. Mullen HS,,190.5,83.9,0.0,0.2,0.2,southern-california
Raiquan Gray,1.0,JR,F,6-8,260,"Fort Lauderdale, FL",Dillard HS,,203.2,117.9,11.9,6.4,2.2,florida-state
M.J. Walker,23.0,SR,G,6-5,213,"Jonesboro, GA",Jonesboro High School,24 (2017),195.6,96.6,12.2,2.5,2.5,florida-state
Scottie Barnes,4.0,FR,G,6-9,227,"West Palm Beach, FL",Montverde Academy,5 (2020),205.7,103.0,10.3,4.0,4.1,florida-state
